Date,Price,Open,High,Low,ChangePct
9/17/2020,43.3,42.32,43.5,41.5,2.56
9/16/2020,42.22,40.72,42.44,40.59,4.17
9/15/2020,40.53,39.7,40.82,39.39,2.32
9/14/2020,39.61,39.78,40.09,39.3,-0.55
9/11/2020,39.83,39.96,40.34,39.38,-0.57
9/10/2020,40.06,40.58,40.96,39.71,-1.79
9/9/2020,40.79,39.65,41.2,39.37,2.54
9/8/2020,39.78,42.08,42.23,39.31,-5.31
9/7/2020,42.01,42.2,42.43,41.51,-1.52
9/4/2020,42.66,43.76,44.54,42.3,-3.2
9/3/2020,44.07,44.65,44.65,43.15,-0.81
9/2/2020,44.43,45.83,46.05,44.2,-2.52
9/1/2020,45.58,45.6,46.22,45.47,0.66
8/31/2020,45.28,45.8,46.53,45.21,0.51
8/28/2020,45.05,45.1,45.3,44.8,-0.09
8/27/2020,45.09,45.7,45.87,44.56,-1.21
8/26/2020,45.64,45.97,46.1,45.54,-0.48
8/25/2020,45.86,45.12,46.07,45.08,1.62
8/24/2020,45.13,44.5,45.18,44.29,1.76
8/21/2020,44.35,45.03,45.08,43.59,-1.22
8/20/2020,44.9,45.14,45.18,44.02,-1.04
8/19/2020,45.37,45.17,45.48,44.81,-0.2
8/18/2020,45.46,45.27,45.55,44.76,0.2
8/17/2020,45.37,44.86,45.41,44.53,1.27
8/14/2020,44.8,45.29,45.29,44.47,-0.36
8/13/2020,44.96,45.32,45.58,44.82,-1.03
8/12/2020,45.43,44.62,45.63,44.49,2.09
8/11/2020,44.5,45.05,45.79,44.39,-1.09
8/10/2020,44.99,44.66,45.26,44.37,1.33
8/7/2020,44.4,45.15,45.3,44.27,-1.53
8/6/2020,45.09,45.32,45.71,44.85,-0.18
8/5/2020,45.17,44.28,46.23,44.24,1.67
8/4/2020,44.43,43.84,44.82,43.24,0.63
8/3/2020,44.15,43.53,44.46,42.89,1.96
7/31/2020,43.3,43.29,43.44,43.05,0.84
7/30/2020,42.94,43.73,43.8,41.38,-1.85
7/29/2020,43.75,43.31,43.95,43.2,1.23
7/28/2020,43.22,43.55,43.84,43,-0.44
7/27/2020,43.41,43.35,43.77,42.39,0.16
7/24/2020,43.34,43.27,43.9,42.79,0.07
7/23/2020,43.31,44.1,44.77,43.13,-2.21
7/22/2020,44.29,44.03,44.4,43.62,-0.07
7/21/2020,44.32,43.17,44.89,43.16,2.4
7/20/2020,43.28,43.08,43.45,42.36,0.32
7/17/2020,43.14,43.4,43.45,42.64,-0.53
7/16/2020,43.37,43.71,43.8,43.14,-0.96
7/15/2020,43.79,43.07,43.85,42.7,2.07
7/14/2020,42.9,42.24,43.22,41.8,0.42
7/13/2020,42.72,43.12,43.34,42.14,-1.2
7/10/2020,43.24,42.36,43.42,41.32,2.1
7/9/2020,42.35,43.3,43.5,41.94,-2.17
7/8/2020,43.29,42.81,43.47,42.75,0.49
7/7/2020,43.08,43.13,43.45,42.46,-0.05
7/6/2020,43.1,42.79,43.71,42.74,0.7
7/3/2020,42.8,42.76,42.99,42.32,-0.79
7/2/2020,43.14,41.84,43.23,41.73,2.64
7/1/2020,42.03,41.58,42.62,41.03,2.14
6/30/2020,41.15,41.33,41.62,40.9,-1.34
6/29/2020,41.71,40.56,41.95,40.04,1.68
6/26/2020,41.02,41.44,41.81,40.29,-0.07
6/25/2020,41.05,40.35,41.64,39.47,1.84
6/24/2020,40.31,42.45,42.89,39.63,-5.44
6/23/2020,42.63,43.21,43.93,42.21,-1.04
6/22/2020,43.08,41.74,43.18,41.58,2.11
6/19/2020,42.19,41.72,42.92,41.03,1.64
6/18/2020,41.51,40.43,41.64,40.06,1.97
6/17/2020,40.71,40.61,41.46,40.03,-0.61
6/16/2020,40.96,39.94,41.65,38.95,3.12
6/15/2020,39.72,38.8,39.9,37.24,2.56
6/12/2020,38.73,37.88,39.45,37.01,0.47
6/11/2020,38.55,40.95,41.01,37.82,-7.62
6/10/2020,41.73,40.72,41.99,40.14,1.34
6/9/2020,41.18,41.1,41.45,39.85,0.93
6/8/2020,40.8,42.4,43.41,40.68,-3.55
6/5/2020,42.3,39.84,42.48,39.72,5.78
6/4/2020,39.99,39.6,40.1,39.04,0.5
6/3/2020,39.79,39.75,40.53,38.76,0.56
6/2/2020,39.57,38.34,39.75,38.26,3.26
6/1/2020,38.32,37.56,38.68,37.18,8.46
5/29/2020,35.33,35.15,35.37,34.06,0.11
5/28/2020,35.29,33.92,35.95,33.62,1.58
5/27/2020,34.74,35.93,36.16,33.98,-3.95
5/26/2020,36.17,35.66,36.68,35.26,1.8
5/25/2020,35.53,34.98,35.97,34.46,1.14
5/22/2020,35.13,36.18,36.23,33.54,-2.58
5/21/2020,36.06,35.82,36.98,35.75,0.87
5/20/2020,35.75,34.45,36.46,34.38,3.17
5/19/2020,34.65,35.66,35.76,34.2,-0.46
5/18/2020,34.81,32.78,35.72,32.69,7.11
5/15/2020,32.5,31.52,32.91,30.94,4.4
5/14/2020,31.13,29.52,31.55,28.88,6.65
5/13/2020,29.19,29.35,30.55,28.86,-2.64
5/12/2020,29.98,30.07,30.7,29.35,1.18
5/11/2020,29.63,30.7,31.47,29.35,-4.33
5/8/2020,30.97,29.6,31.14,29.43,5.13
5/7/2020,29.46,29.64,31.84,29.08,-0.87
5/6/2020,29.72,32.27,32.27,28.66,-4.04
5/5/2020,30.97,28.1,32.06,27.77,13.86
5/4/2020,27.2,26.1,28.08,25.5,2.87
5/1/2020,26.44,26.95,27.88,25.76,4.63
4/30/2020,25.27,22.87,25.76,22.87,12.11
4/29/2020,22.54,20.66,23.88,20.53,10.17
4/28/2020,20.46,19.9,21.29,18.73,2.35
4/27/2020,19.99,21.55,21.91,19.11,-6.76
4/24/2020,21.44,21.93,22.7,20.5,0.52
4/23/2020,21.33,20.89,23.22,20.07,4.71
4/22/2020,20.37,20.23,22.45,15.98,5.38
4/21/2020,19.33,26.33,26.5,17.51,-24.4
