Date,Price,Open,High,Low
29-Nov-18,59.51,59.12,60.37,57.5
28-Nov-18,58.76,60.63,61.27,58.55
27-Nov-18,60.21,60.39,61.4,58.92
26-Nov-18,60.48,58.98,61.13,58.6
23-Nov-18,58.8,62.58,62.79,58.41
22-Nov-18,62.6,63.6,63.81,62.27
21-Nov-18,63.48,62.6,64.48,62.56
20-Nov-18,62.53,66.9,66.9,61.71
19-Nov-18,66.79,66.99,67.64,65.27
16-Nov-18,66.76,66.68,68.38,66.06
15-Nov-18,66.62,66.12,67.42,65.77
14-Nov-18,66.12,65.62,67.63,65.02
13-Nov-18,65.47,69.13,69.68,64.61
12-Nov-18,70.12,70.69,71.88,68.87
9-Nov-18,70.18,70.87,70.99,69.13
8-Nov-18,70.65,72.1,73.08,70.56
7-Nov-18,72.07,71.66,73.55,71.36
6-Nov-18,72.13,72.85,73.28,71.18
5-Nov-18,73.17,72.85,74.13,72.26
2-Nov-18,72.83,72.75,73.5,72.16
1-Nov-18,72.89,74.69,74.99,72.56
31-Oct-18,75.47,76.28,76.92,75.42
30-Oct-18,75.91,76.82,77.32,75.09
29-Oct-18,77.34,77.64,78.03,76.55
26-Oct-18,77.62,76.6,77.91,75.77
25-Oct-18,76.89,75.67,77.08,75.35
24-Oct-18,76.17,76.35,77.57,75.11
23-Oct-18,76.44,80.04,80.12,75.88
22-Oct-18,79.83,80.11,80.41,78.99
19-Oct-18,79.78,79.44,80.88,79.22
18-Oct-18,79.29,80.23,80.31,78.69
17-Oct-18,80.05,81.74,81.85,79.17
16-Oct-18,81.41,80.88,81.75,79.8
15-Oct-18,80.78,81,81.92,79.85
12-Oct-18,80.43,80.28,81.48,79.23
11-Oct-18,80.26,82.47,82.63,79.8
10-Oct-18,83.09,84.98,85.17,82.26
9-Oct-18,85,83.91,85.45,83.73
8-Oct-18,83.91,84.17,84.31,82.66
5-Oct-18,84.16,84.89,85.12,83.92
4-Oct-18,84.58,85.99,86.43,84.14
3-Oct-18,86.29,84.79,86.74,84.01
2-Oct-18,84.8,84.95,85.38,84.31
1-Oct-18,84.98,82.79,85.45,82.55
28-Sep-18,82.72,81.63,82.87,81.6
27-Sep-18,81.72,81.8,82.44,81.32
26-Sep-18,81.34,81.45,82.22,81.1
25-Sep-18,81.87,81.35,82.55,81.17
24-Sep-18,81.2,78.97,81.48,78.97
21-Sep-18,78.8,78.67,80.12,78.23
20-Sep-18,78.7,79.44,79.83,78.51
19-Sep-18,79.4,78.97,79.5,78.51
18-Sep-18,79.03,77.78,79.73,77.46
17-Sep-18,78.05,78.07,78.9,77.73
14-Sep-18,78.09,78.45,78.94,77.37
13-Sep-18,78.18,79.6,79.71,77.87
12-Sep-18,79.74,79.42,80.13,78.75
11-Sep-18,79.06,77.38,79.54,77.36
10-Sep-18,77.37,77.08,77.92,76.9
7-Sep-18,76.83,76.69,77.1,75.88
6-Sep-18,76.5,77.02,77.77,75.64
5-Sep-18,77.27,77.82,78.09,76.91
4-Sep-18,78.17,78.19,79.72,77.44
3-Sep-18,78.15,77.69,78.44,77.3
31-Aug-18,77.42,77.53,77.79,77
30-Aug-18,77.77,77.33,78.03,77.18
29-Aug-18,77.14,75.99,77.42,75.67
28-Aug-18,75.95,76.34,76.97,75.73
27-Aug-18,76.21,75.54,76.34,75.39
24-Aug-18,75.82,74.73,76.42,74.68
23-Aug-18,74.73,74.72,74.87,74.21
22-Aug-18,74.78,72.76,75,72.7
21-Aug-18,72.63,72.15,72.95,72.05
20-Aug-18,72.21,71.77,72.75,71.42
17-Aug-18,71.83,71.35,72.49,71.25
16-Aug-18,71.43,70.65,71.52,70.4
15-Aug-18,70.76,72.22,72.44,70.3
14-Aug-18,72.46,72.82,73.93,72.16
13-Aug-18,72.61,73,73.09,71.04
10-Aug-18,72.81,71.97,73.14,71.4
9-Aug-18,72.07,72.16,72.89,71.86
8-Aug-18,72.28,74.64,74.87,71.65
7-Aug-18,74.65,73.61,74.9,73.57
6-Aug-18,73.75,73.21,74.47,73.08
3-Aug-18,73.21,73.37,73.73,72.48
2-Aug-18,73.45,72.42,73.75,71.84
1-Aug-18,72.39,74.07,74.12,72.13
31-Jul-18,74.25,74.93,75.1,74.14
30-Jul-18,74.97,74.31,75.27,74.14
27-Jul-18,74.29,74.5,74.85,73.83
26-Jul-18,74.54,74.37,74.83,73.77
25-Jul-18,73.93,73.7,74.6,73.07
24-Jul-18,73.44,72.91,74,72.68
23-Jul-18,73.06,73.22,74.5,72.52
20-Jul-18,73.07,72.65,73.47,72.26
19-Jul-18,72.58,73.06,73.79,71.83
18-Jul-18,72.9,71.74,73.28,71.19
17-Jul-18,72.16,72.01,72.78,71.35
16-Jul-18,71.84,74.92,75.37,71.52
13-Jul-18,75.33,74.34,75.93,73.22
12-Jul-18,74.45,74.17,75.1,72.67
11-Jul-18,73.4,78.78,78.83,73.04
10-Jul-18,78.86,78.25,79.51,78.15
9-Jul-18,78.07,77.21,78.31,77.04
6-Jul-18,77.11,77.57,77.68,76.36
5-Jul-18,77.39,78.14,78.5,77.3
4-Jul-18,78.24,77.89,78.28,77.61
3-Jul-18,77.76,77.4,78.55,76.67
2-Jul-18,77.3,78.55,78.95,77.16
29-Jun-18,79.44,77.79,79.7,77.45
28-Jun-18,77.85,77.5,78.42,77.09
27-Jun-18,77.62,76.54,78.16,76.28
26-Jun-18,76.31,74.74,76.72,74.13
25-Jun-18,74.73,74.8,75.13,73.74
22-Jun-18,75.55,73.24,75.83,73.24
