Company Symbol,Security,GICS Sector,GICS Sub-Industry,Shares,1/1/2020,1/2/2020,1/3/2020,1/4/2020,1/5/2020,1/6/2020,1/7/2020,1/8/2020,1/9/2020,1/10/2020,1/11/2020,1/12/2020
LW,Lamb Weston Holdings Inc,Consumer Staples,Packaged Foods & Meats,146339000,84.09,91.75,86.65,51,58.35,61.59,63.42,60.13,61.33,66.67,65.67,72.75
LVS,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming,763828000,70.8,66.56,58.26,40.3,45.61,49.03,45.04,44,49.65,46.22,49.17,56.62
LEG,Leggett & Platt,Consumer Discretionary,Home Furnishings,132519000,50.34,46.96,40.25,24.42,33.75,31.79,34.38,39.7,42.43,41.65,43.52,42.8
LDOS,Leidos Holdings,Information Technology,IT Consulting & Other Services,142321000,98.62,102.46,110.06,87.15,97.89,105.98,93.31,98.3,89.7,90.42,85.73,101.64
LEN,Lennar Corp.,Consumer Discretionary,Homebuilding,275116000,55.81,66.66,62.62,34.73,49.46,60.14,59.78,73.6,78.13,82.93,72.51,73.23
LLY,Lilly (Eli) & Co.,Health Care,Pharmaceuticals,956582000,132.21,141,132.84,136.42,153.63,152.45,163.3,152.84,147.3,144.29,131.63,145.56
LNC,Lincoln National,Financials,Multi-line Insurance,193265000,59.75,54.42,48.28,23.85,32.48,39.23,34.67,37.58,36.15,31.89,36.37,49.9
LIN,Linde plc,Materials,Industrial Gases,524857000,210.74,209.44,198.15,160.87,180.33,205.22,214.77,244.31,256.94,232.7,228.58,258.9
LYV,Live Nation Entertainment,Communication Services,Movies & Entertainment,217117000,71.89,68.6,57.96,38.88,41.17,50.66,46.02,46.67,57.2,53.74,50.23,68.11
LKQ,LKQ Corporation,Consumer Discretionary,Distributors,304345000,35.8,32.58,29.9,19.13,24.81,28.05,25.08,28.66,31.82,28.01,32.95,36.14
LMT,Lockheed Martin Corp.,Industrials,Aerospace & Defense,279784000,399.37,423.86,381.35,338.52,383.47,388.96,360.42,377.1,386.81,380.89,352.42,364.99
L,Loews Corp.,Financials,Multi-line Insurance,274873000,52.96,52.4,48.69,32.63,31.62,33.77,33.54,35.6,36.17,34.86,37.33,42.56
LOW,Lowe's Cos.,Consumer Discretionary,Home Improvement Retail,732723000,120.46,117.18,111.04,80.42,104.46,129.32,135.63,150.27,167.59,167.17,160.23,153.4
LUMN,Lumen Technologies,Communication Services,Alternative Carriers,1097538000,12.92,13.6,12.59,8.79,10.17,10.14,9.87,9.8,10.65,9.95,8.88,10.55
LYB,LyondellBasell,Materials,Specialty Chemicals,333919000,93.86,78.82,74.52,45.03,55.16,65.34,65.61,62.13,68.46,68.14,71.91,85.76
MTB,M&T Bank Corp.,Financials,Regional Banks,128293000,171.07,169.09,147.51,95.86,107.2,108.53,101.31,105.03,103.56,92.21,106.04,120.89
MRO,Marathon Oil Corp.,Energy,Oil & Gas Exploration & Production,789392000,13.68,11.47,8.34,3.12,5.5,5.69,5.95,5.52,5.32,3.95,4.15,5.86
MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,650651000,61.91,52.06,47.73,20.87,29.24,36.5,35.68,38.57,34.97,27.71,31.3,39.45
MKTX,MarketAxess,Financials,Financial Exchanges & Data,37963000,380.25,355.5,348.62,333.99,449.79,519.78,506.01,511.69,490.42,482.97,538.79,546.61
MAR,Marriott Int'l.,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",324332000,151.49,141.48,122.96,69.15,84.75,95.03,86.62,83.52,103.09,94.35,92.9,128.52
